<'body system', 'issue in', 'biomedical occupation or discipline'>
<'experimental model of disease', 'precedes', 'neoplastic process'>
<'diagnostic procedure', 'measures', 'indicator reagent or diagnostic aid'>
<'environmental effect of humans', 'result of', 'physiologic function'>
<'molecular sequence', 'isa', 'idea or concept'>
<'fully formed anatomical structure', 'location of', 'virus'>
<'mental or behavioral dysfunction', 'affects', 'organ or tissue function'>
<'experimental model of disease', 'affects', 'physiologic function'>
<'neuroreactive substance or biogenic amine', 'disrupts', 'genetic function'>
<'antibiotic', 'diagnoses', 'neoplastic process'>
<'anatomical structure', 'location of', 'fungus'>
<'drug delivery device', 'prevents', 'pathologic function'>
<'antibiotic', 'prevents', 'neoplastic process'>
<'mental process', 'affects', 'organism function'>
<'organic chemical', 'affects', 'cell function'>
<'acquired abnormality', 'manifestation of', 'pathologic function'>
<'rickettsia or chlamydia', 'interacts with', 'human'>
<'body part organ or organ component', 'part of', 'amphibian'>
<'nucleic acid nucleoside or nucleotide', 'isa', 'chemical'>
<'congenital abnormality', 'manifestation of', 'biologic function'>
<'pharmacologic substance', 'affects', 'experimental model of disease'>
<'enzyme', 'complicates', 'acquired abnormality'>
<'vitamin', 'isa', 'biologically active substance'>
<'rickettsia or chlamydia', 'causes', 'cell or molecular dysfunction'>
<'professional society', 'carries out', 'research activity'>
<'receptor', 'affects', 'biologic function'>
<'experimental model of disease', 'process of', 'reptile'>
<'anatomical abnormality', 'affects', 'virus'>
<'laboratory procedure', 'diagnoses', 'injury or poisoning'>
<'antibiotic', 'causes', 'injury or poisoning'>
<'group', 'performs', 'laboratory procedure'>
<'diagnostic procedure', 'assesses effect of', 'amino acid peptide or protein'>
<'molecular function', 'affects', 'mental process'>
<'nucleic acid nucleoside or nucleotide', 'interacts with', 'hormone'>
<'biologic function', 'result of', 'acquired abnormality'>
<'hazardous or poisonous substance', 'causes', 'experimental model of disease'>
<'disease or syndrome', 'result of', 'neoplastic process'>
<'professional or occupational group', 'isa', 'group'>
<'vitamin', 'complicates', 'pathologic function'>
<'molecular sequence', 'isa', 'spatial concept'>
<'gene or genome', 'produces', 'steroid'>
<'cell', 'part of', 'human'>
<'immunologic factor', 'complicates', 'injury or poisoning'>
<'neuroreactive substance or biogenic amine', 'complicates', 'congenital abnormality'>
<'cell or molecular dysfunction', 'process of', 'physiologic function'>
<'congenital abnormality', 'result of', 'laboratory procedure'>
<'steroid', 'interacts with', 'element ion or isotope'>
<'inorganic chemical', 'interacts with', 'antibiotic'>
<'injury or poisoning', 'complicates', 'pathologic function'>
<'fungus', 'interacts with', 'fish'>
<'bacterium', 'interacts with', 'mammal'>
<'molecular biology research technique', 'associated with', 'injury or poisoning'>
<'lipid', 'issue in', 'occupation or discipline'>
<'hazardous or poisonous substance', 'isa', 'substance'>
<'self help or relief organization', 'carries out', 'health care activity'>
<'chemical viewed structurally', 'causes', 'congenital abnormality'>
<'hormone', 'complicates', 'organ or tissue function'>
<'human caused phenomenon or process', 'result of', 'organism function'>
<'therapeutic or preventive procedure', 'affects', 'biologic function'>
<'laboratory procedure', 'assesses effect of', 'neoplastic process'>
<'self help or relief organization', 'issue in', 'biomedical occupation or discipline'>
<'diagnostic procedure', 'measures', 'chemical viewed functionally'>
<'organ or tissue function', 'co-occurs with', 'genetic function'>
<'molecular function', 'precedes', 'organism function'>
<'neoplastic process', 'affects', 'experimental model of disease'>
<'social behavior', 'manifestation of', 'mental or behavioral dysfunction'>
<'cell component', 'isa', 'fully formed anatomical structure'>
<'mental process', 'process of', 'organism'>
<'pathologic function', 'result of', 'human caused phenomenon or process'>
<'cell component', 'part of', 'human'>
<'genetic function', 'affects', 'plant'>
<'steroid', 'interacts with', 'pharmacologic substance'>
<'mental or behavioral dysfunction', 'result of', 'anatomical abnormality'>
<'organism attribute', 'measurement of', 'genetic function'>
<'environmental effect of humans', 'result of', 'organ or tissue function'>
<'organization', 'carries out', 'educational activity'>
<'lipid', 'affects', 'biologic function'>
<'organism function', 'result of', 'molecular function'>
<'molecular biology research technique', 'measures', 'lipid'>
<'gene or genome', 'affects', 'mental process'>
<'organophosphorus compound', 'affects', 'pathologic function'>
<'organ or tissue function', 'process of', 'human'>
<'physiologic function', 'result of', 'mental or behavioral dysfunction'>
<'neoplastic process', 'precedes', 'pathologic function'>
<'tissue', 'location of', 'genetic function'>
<'laboratory procedure', 'assesses effect of', 'enzyme'>
<'mental or behavioral dysfunction', 'issue in', 'occupation or discipline'>
<'tissue', 'part of', 'vertebrate'>
<'nucleic acid nucleoside or nucleotide', 'interacts with', 'steroid'>
<'neoplastic process', 'affects', 'mammal'>
<'neuroreactive substance or biogenic amine', 'causes', 'injury or poisoning'>
<'molecular biology research technique', 'affects', 'mental process'>
<'eicosanoid', 'causes', 'disease or syndrome'>
<'mental or behavioral dysfunction', 'result of', 'diagnostic procedure'>
<'cell or molecular dysfunction', 'occurs in', 'population group'>
<'occupation or discipline', 'isa', 'entity'>
<'body space or junction', 'location of', 'acquired abnormality'>
<'steroid', 'affects', 'physiologic function'>
<'physiologic function', 'occurs in', 'temporal concept'>
<'neoplastic process', 'isa', 'disease or syndrome'>
<'language', 'isa', 'conceptual entity'>
<'disease or syndrome', 'process of', 'human'>
<'environmental effect of humans', 'issue in', 'biomedical occupation or discipline'>
<'antibiotic', 'disrupts', 'genetic function'>
<'animal', 'interacts with', 'reptile'>
<'mental or behavioral dysfunction', 'affects', 'biologic function'>
<'pathologic function', 'process of', 'experimental model of disease'>
<'professional or occupational group', 'exhibits', 'individual behavior'>
<'body part organ or organ component', 'isa', 'anatomical structure'>
<'gene or genome', 'issue in', 'biomedical occupation or discipline'>
<'mental or behavioral dysfunction', 'complicates', 'neoplastic process'>
<'disease or syndrome', 'process of', 'genetic function'>
<'molecular function', 'affects', 'disease or syndrome'>
<'population group', 'produces', 'drug delivery device'>
<'chemical viewed structurally', 'interacts with', 'lipid'>
<'fully formed anatomical structure', 'produces', 'carbohydrate'>
<'laboratory or test result', 'indicates', 'neoplastic process'>
<'organ or tissue function', 'affects', 'vertebrate'>
<'disease or syndrome', 'result of', 'mental process'>
<'amino acid peptide or protein', 'interacts with', 'immunologic factor'>
<'embryonic structure', 'location of', 'physiologic function'>
<'natural phenomenon or process', 'result of', 'experimental model of disease'>
<'molecular function', 'result of', 'physiologic function'>
<'carbohydrate', 'causes', 'acquired abnormality'>
<'congenital abnormality', 'affects', 'invertebrate'>
<'cell or molecular dysfunction', 'process of', 'organ or tissue function'>
<'amphibian', 'interacts with', 'bird'>
<'congenital abnormality', 'result of', 'experimental model of disease'>
<'body part organ or organ component', 'interconnects', 'body space or junction'>
<'group', 'performs', 'educational activity'>
<'physiologic function', 'affects', 'human'>
<'diagnostic procedure', 'associated with', 'acquired abnormality'>
<'regulation or law', 'affects', 'group'>
<'age group', 'produces', 'medical device'>
<'health care activity', 'affects', 'cell or molecular dysfunction'>
<'pathologic function', 'process of', 'mammal'>
<'clinical attribute', 'result of', 'genetic function'>
<'laboratory procedure', 'associated with', 'experimental model of disease'>
<'mental process', 'process of', 'pathologic function'>
<'finding', 'manifestation of', 'injury or poisoning'>
<'antibiotic', 'interacts with', 'vitamin'>
<'acquired abnormality', 'affects', 'bacterium'>
<'laboratory procedure', 'assesses effect of', 'mental process'>
<'population group', 'isa', 'entity'>
<'antibiotic', 'issue in', 'biomedical occupation or discipline'>
<'organophosphorus compound', 'interacts with', 'neuroreactive substance or biogenic amine'>
<'element ion or isotope', 'causes', 'cell or molecular dysfunction'>
<'anatomical abnormality', 'location of', 'virus'>
<'organism attribute', 'result of', 'organism function'>
<'social behavior', 'associated with', 'organism attribute'>
<'experimental model of disease', 'result of', 'genetic function'>
<'pharmacologic substance', 'interacts with', 'immunologic factor'>
<'organism attribute', 'manifestation of', 'physiologic function'>
<'receptor', 'disrupts', 'fully formed anatomical structure'>
<'biologic function', 'process of', 'archaeon'>
<'experimental model of disease', 'precedes', 'disease or syndrome'>
<'neuroreactive substance or biogenic amine', 'interacts with', 'enzyme'>
<'diagnostic procedure', 'assesses effect of', 'chemical'>
<'indicator reagent or diagnostic aid', 'affects', 'cell or molecular dysfunction'>
<'organic chemical', 'isa', 'chemical'>
<'genetic function', 'affects', 'organism attribute'>
<'experimental model of disease', 'manifestation of', 'cell or molecular dysfunction'>
<'disease or syndrome', 'manifestation of', 'injury or poisoning'>
<'body part organ or organ component', 'part of', 'fish'>
<'indicator reagent or diagnostic aid', 'affects', 'natural phenomenon or process'>
<'health care activity', 'isa', 'occupational activity'>
<'laboratory procedure', 'diagnoses', 'anatomical abnormality'>
<'antibiotic', 'causes', 'anatomical abnormality'>
<'natural phenomenon or process', 'affects', 'neoplastic process'>
<'hormone', 'affects', 'organism function'>
<'biomedical or dental material', 'causes', 'mental or behavioral dysfunction'>
<'hormone', 'complicates', 'biologic function'>
<'age group', 'performs', 'diagnostic procedure'>
<'antibiotic', 'diagnoses', 'disease or syndrome'>
<'molecular biology research technique', 'measures', 'genetic function'>
<'cell component', 'location of', 'organ or tissue function'>
<'substance', 'causes', 'cell or molecular dysfunction'>
<'antibiotic', 'prevents', 'disease or syndrome'>
<'immunologic factor', 'interacts with', 'chemical'>
<'cell function', 'produces', 'neuroreactive substance or biogenic amine'>
<'gene or genome', 'part of', 'invertebrate'>
<'acquired abnormality', 'affects', 'alga'>
<'antibiotic', 'complicates', 'organism function'>
<'fungus', 'location of', 'enzyme'>
<'research activity', 'measures', 'biologically active substance'>
<'organic chemical', 'interacts with', 'hormone'>
<'organism attribute', 'property of', 'animal'>
<'carbohydrate', 'ingredient of', 'clinical drug'>
<'disease or syndrome', 'affects', 'virus'>
<'geographic area', 'associated with', 'pathologic function'>
<'receptor', 'complicates', 'disease or syndrome'>
<'molecular biology research technique', 'associated with', 'anatomical abnormality'>
<'qualitative concept', 'evaluation of', 'molecular biology research technique'>
<'gene or genome', 'part of', 'amphibian'>
<'social behavior', 'associated with', 'family group'>
<'organism function', 'degree of', 'mental process'>
<'acquired abnormality', 'result of', 'mental or behavioral dysfunction'>
<'amino acid peptide or protein', 'issue in', 'occupation or discipline'>
<'vitamin', 'affects', 'physiologic function'>
<'laboratory or test result', 'indicates', 'mental process'>
<'patient or disabled group', 'uses', 'clinical drug'>
<'fully formed anatomical structure', 'part of', 'vertebrate'>
<'biomedical or dental material', 'affects', 'experimental model of disease'>
<'sign or symptom', 'evaluation of', 'organism attribute'>
<'governmental or regulatory activity', 'issue in', 'biomedical occupation or discipline'>
<'neuroreactive substance or biogenic amine', 'issue in', 'biomedical occupation or discipline'>
<'pathologic function', 'occurs in', 'population group'>
<'laboratory procedure', 'measures', 'organophosphorus compound'>
<'physiologic function', 'process of', 'neoplastic process'>
<'injury or poisoning', 'issue in', 'occupation or discipline'>
<'organic chemical', 'causes', 'anatomical abnormality'>
<'experimental model of disease', 'co-occurs with', 'acquired abnormality'>
<'cell', 'part of', 'body part organ or organ component'>
<'molecular biology research technique', 'measures', 'pharmacologic substance'>
<'laboratory or test result', 'evaluation of', 'organism attribute'>
<'self help or relief organization', 'location of', 'diagnostic procedure'>
<'laboratory or test result', 'co-occurs with', 'sign or symptom'>
<'tissue', 'location of', 'body space or junction'>
<'neuroreactive substance or biogenic amine', 'interacts with', 'receptor'>
<'laboratory procedure', 'assesses effect of', 'disease or syndrome'>
<'virus', 'interacts with', 'invertebrate'>
<'neoplastic process', 'occurs in', 'disease or syndrome'>
<'chemical', 'isa', 'entity'>
<'pharmacologic substance', 'affects', 'physiologic function'>
<'physiologic function', 'affects', 'organism'>
<'therapeutic or preventive procedure', 'complicates', 'neoplastic process'>
<'neuroreactive substance or biogenic amine', 'causes', 'anatomical abnormality'>
<'hormone', 'issue in', 'biomedical occupation or discipline'>
<'congenital abnormality', 'complicates', 'anatomical abnormality'>
<'sign or symptom', 'associated with', 'injury or poisoning'>
<'physiologic function', 'affects', 'fungus'>
<'organ or tissue function', 'affects', 'cell or molecular dysfunction'>
<'professional or occupational group', 'uses', 'medical device'>
<'cell component', 'part of', 'body part organ or organ component'>
<'inorganic chemical', 'isa', 'substance'>
<'research activity', 'measures', 'hormone'>
<'animal', 'issue in', 'occupation or discipline'>
<'bacterium', 'location of', 'neuroreactive substance or biogenic amine'>
<'population group', 'associated with', 'acquired abnormality'>
<'organ or tissue function', 'affects', 'natural phenomenon or process'>
<'natural phenomenon or process', 'affects', 'mental process'>
<'mental or behavioral dysfunction', 'manifestation of', 'cell or molecular dysfunction'>
<'virus', 'interacts with', 'amphibian'>
<'fully formed anatomical structure', 'location of', 'bacterium'>
<'hormone', 'interacts with', 'receptor'>
<'neoplastic process', 'result of', 'acquired abnormality'>
<'cell or molecular dysfunction', 'affects', 'animal'>
<'laboratory or test result', 'associated with', 'injury or poisoning'>
<'animal', 'exhibits', 'social behavior'>
<'molecular biology research technique', 'measures', 'eicosanoid'>
<'antibiotic', 'isa', 'pharmacologic substance'>
<'cell or molecular dysfunction', 'produces', 'vitamin'>
<'immunologic factor', 'affects', 'organ or tissue function'>
<'genetic function', 'process of', 'archaeon'>
<'disease or syndrome', 'isa', 'biologic function'>
<'classification', 'isa', 'intellectual product'>
<'anatomical abnormality', 'occurs in', 'population group'>
<'animal', 'exhibits', 'behavior'>
<'patient or disabled group', 'performs', 'social behavior'>
<'enzyme', 'associated with', 'virus'>
<'pathologic function', 'manifestation of', 'organ or tissue function'>
<'enzyme', 'causes', 'mental or behavioral dysfunction'>
<'antibiotic', 'disrupts', 'body part organ or organ component'>
<'nucleic acid nucleoside or nucleotide', 'ingredient of', 'clinical drug'>
<'molecular function', 'precedes', 'cell function'>
<'body part organ or organ component', 'produces', 'eicosanoid'>
<'immunologic factor', 'disrupts', 'gene or genome'>
<'cell or molecular dysfunction', 'affects', 'experimental model of disease'>
<'experimental model of disease', 'isa', 'pathologic function'>
<'phenomenon or process', 'result of', 'neoplastic process'>
<'patient or disabled group', 'performs', 'behavior'>
<'anatomical abnormality', 'affects', 'bacterium'>
<'finding', 'manifestation of', 'anatomical abnormality'>
<'mental or behavioral dysfunction', 'complicates', 'disease or syndrome'>
<'body location or region', 'issue in', 'biomedical occupation or discipline'>
<'body space or junction', 'location of', 'genetic function'>
<'body substance', 'causes', 'congenital abnormality'>
<'cell component', 'location of', 'biologic function'>
<'regulation or law', 'affects', 'patient or disabled group'>
<'neoplastic process', 'affects', 'physiologic function'>
<'disease or syndrome', 'co-occurs with', 'neoplastic process'>
<'biologically active substance', 'causes', 'cell or molecular dysfunction'>
<'fully formed anatomical structure', 'produces', 'receptor'>
<'congenital abnormality', 'location of', 'neoplastic process'>
<'organ or tissue function', 'result of', 'molecular function'>
<'physiologic function', 'process of', 'mental process'>
<'health care activity', 'method of', 'biomedical occupation or discipline'>
<'chemical viewed structurally', 'interacts with', 'eicosanoid'>
<'cell function', 'result of', 'acquired abnormality'>
<'experimental model of disease', 'isa', 'phenomenon or process'>
<'chemical', 'affects', 'pathologic function'>
<'vitamin', 'disrupts', 'gene or genome'>
<'physiologic function', 'affects', 'pathologic function'>
<'cell or molecular dysfunction', 'affects', 'mammal'>
<'research activity', 'measures', 'steroid'>
<'congenital abnormality', 'occurs in', 'family group'>
<'neuroreactive substance or biogenic amine', 'disrupts', 'cell'>
<'antibiotic', 'affects', 'molecular function'>
<'amino acid peptide or protein', 'interacts with', 'antibiotic'>
<'pharmacologic substance', 'affects', 'organ or tissue function'>
<'pathologic function', 'result of', 'cell or molecular dysfunction'>
<'genetic function', 'result of', 'molecular function'>
<'mental or behavioral dysfunction', 'occurs in', 'professional or occupational group'>
<'anatomical abnormality', 'affects', 'alga'>
<'cell', 'location of', 'organ or tissue function'>
<'individual behavior', 'isa', 'event'>
<'therapeutic or preventive procedure', 'complicates', 'mental process'>
<'medical device', 'isa', 'entity'>
<'organism attribute', 'property of', 'invertebrate'>
<'laboratory or test result', 'measurement of', 'food'>
<'invertebrate', 'interacts with', 'human'>
<'clinical attribute', 'result of', 'injury or poisoning'>
<'anatomical abnormality', 'manifestation of', 'organ or tissue function'>
<'organism function', 'process of', 'cell function'>
<'experimental model of disease', 'associated with', 'clinical attribute'>
<'carbohydrate', 'affects', 'neoplastic process'>
<'chemical viewed structurally', 'affects', 'genetic function'>
<'pathologic function', 'process of', 'physiologic function'>
<'amino acid peptide or protein', 'affects', 'organism function'>
<'cell or molecular dysfunction', 'complicates', 'pathologic function'>
<'natural phenomenon or process', 'affects', 'disease or syndrome'>
<'antibiotic', 'isa', 'physical object'>
<'gene or genome', 'location of', 'organism function'>
<'pharmacologic substance', 'interacts with', 'antibiotic'>
<'hormone', 'disrupts', 'cell'>
<'experimental model of disease', 'result of', 'injury or poisoning'>
<'research activity', 'associated with', 'pathologic function'>
<'organism attribute', 'property of', 'amphibian'>
<'fungus', 'isa', 'physical object'>
<'mental or behavioral dysfunction', 'process of', 'genetic function'>
<'enzyme', 'isa', 'biologically active substance'>
<'natural phenomenon or process', 'result of', 'physiologic function'>
<'rickettsia or chlamydia', 'interacts with', 'archaeon'>
<'behavior', 'result of', 'mental process'>
<'congenital abnormality', 'result of', 'physiologic function'>
<'food', 'affects', 'organ or tissue function'>
<'chemical', 'ingredient of', 'clinical drug'>
