mental or behavioral dysfunction, result of, health care activity
physiologic function, precedes, mental process
cell, part of, archaeon
nucleic acid nucleoside or nucleotide, affects, neoplastic process
gene or genome, part of, cell
cell or molecular dysfunction, affects, fish
tissue, part of, invertebrate
vitamin, disrupts, embryonic structure
neoplastic process, result of, genetic function
body substance, part of, body part organ or organ component
fully formed anatomical structure, part of, bacterium
tissue, location of, physiologic function
steroid, isa, lipid
neuroreactive substance or biogenic amine, affects, experimental model of disease
chemical viewed functionally, isa, substance
congenital abnormality, result of, therapeutic or preventive procedure
plant, isa, physical object
inorganic chemical, isa, chemical viewed structurally
body system, isa, idea or concept
genetic function, affects, experimental model of disease
cell function, isa, biologic function
physiologic function, affects, rickettsia or chlamydia
mental process, isa, phenomenon or process
enzyme, affects, molecular function
cell or molecular dysfunction, result of, congenital abnormality
nucleic acid nucleoside or nucleotide, affects, mental or behavioral dysfunction
organism function, affects, archaeon
body part organ or organ component, part of, plant
molecular function, result of, human caused phenomenon or process
receptor, disrupts, tissue
anatomical abnormality, part of, fish
steroid, affects, natural phenomenon or process
biomedical or dental material, affects, experimental model of disease
self help or relief organization, isa, conceptual entity
pathologic function, result of, therapeutic or preventive procedure
gene or genome, affects, genetic function
lipid, affects, cell function
disease or syndrome, result of, social behavior
pharmacologic substance, disrupts, molecular function
genetic function, affects, amphibian
neoplastic process, affects, cell or molecular dysfunction
natural phenomenon or process, result of, cell or molecular dysfunction
environmental effect of humans, result of, acquired abnormality
hazardous or poisonous substance, disrupts, organ or tissue function
embryonic structure, part of, mammal
health care related organization, location of, diagnostic procedure
physiologic function, result of, organ or tissue function
gene or genome, part of, vertebrate
nucleic acid nucleoside or nucleotide, affects, genetic function
cell or molecular dysfunction, precedes, disease or syndrome
food, affects, pathologic function
element ion or isotope, affects, physiologic function
experimental model of disease, affects, physiologic function
cell, location of, organ or tissue function
neoplastic process, affects, disease or syndrome
organophosphorus compound, affects, natural phenomenon or process
diagnostic procedure, affects, organ or tissue function
natural phenomenon or process, result of, disease or syndrome
organism function, result of, phenomenon or process
receptor, disrupts, genetic function
mental or behavioral dysfunction, result of, behavior
cell, location of, virus
clinical drug, isa, manufactured object
cell component, part of, archaeon
body part organ or organ component, part of, organism
cell function, result of, cell or molecular dysfunction
cell or molecular dysfunction, precedes, neoplastic process
alga, location of, neuroreactive substance or biogenic amine
biologic function, affects, plant
chemical, affects, physiologic function
amino acid peptide or protein, affects, organism function
fungus, location of, vitamin
immunologic factor, disrupts, cell
fish, isa, animal
body space or junction, location of, molecular function
biologically active substance, disrupts, cell
biologically active substance, affects, organism function
mental or behavioral dysfunction, affects, archaeon
mental process, precedes, molecular function
embryonic structure, part of, bird
cell or molecular dysfunction, result of, acquired abnormality
intellectual product, isa, conceptual entity
human caused phenomenon or process, result of, natural phenomenon or process
mental process, affects, cell or molecular dysfunction
cell function, result of, disease or syndrome
neoplastic process, affects, mental process
acquired abnormality, result of, health care activity
organ or tissue function, result of, biologic function
natural phenomenon or process, result of, mental process
indicator reagent or diagnostic aid, isa, chemical viewed functionally
fish, isa, organism
cell or molecular dysfunction, precedes, mental or behavioral dysfunction
indicator reagent or diagnostic aid, affects, pathologic function
classification, isa, intellectual product
physiologic function, affects, human
cell, location of, body space or junction
self help or relief organization, location of, research activity
laboratory procedure, affects, organ or tissue function
experimental model of disease, result of, individual behavior
neoplastic process, affects, mental or behavioral dysfunction
archaeon, isa, physical object
mental process, affects, disease or syndrome
antibiotic, disrupts, cell component
cell function, result of, neoplastic process
cell function, affects, bacterium
mental process, result of, physiologic function
mental or behavioral dysfunction, result of, phenomenon or process
cell, location of, therapeutic or preventive procedure
biologic function, affects, organism
experimental model of disease, result of, pathologic function
disease or syndrome, result of, individual behavior
congenital abnormality, result of, human caused phenomenon or process
cell function, result of, mental process
natural phenomenon or process, affects, pathologic function
cell component, location of, organ or tissue function
biologically active substance, isa, entity
carbohydrate sequence, isa, spatial concept
biomedical or dental material, isa, chemical viewed functionally
congenital abnormality, result of, disease or syndrome
enzyme, disrupts, tissue
cell or molecular dysfunction, result of, health care activity
regulation or law, affects, organization
cell function, precedes, physiologic function
molecular function, result of, cell function
mental process, affects, vertebrate
neoplastic process, result of, natural phenomenon or process
cell function, result of, mental or behavioral dysfunction
genetic function, affects, biologic function
anatomical abnormality, part of, rickettsia or chlamydia
anatomical abnormality, affects, bacterium
cell or molecular dysfunction, affects, mammal
disease or syndrome, result of, anatomical abnormality
pathologic function, result of, human caused phenomenon or process
tissue, part of, bacterium
cell function, isa, physiologic function
human caused phenomenon or process, result of, congenital abnormality
nucleotide sequence, isa, idea or concept
plant, location of, immunologic factor
organic chemical, affects, organ or tissue function
acquired abnormality, location of, cell or molecular dysfunction
congenital abnormality, result of, mental process
therapeutic or preventive procedure, affects, experimental model of disease
spatial concept, isa, idea or concept
bacterium, location of, neuroreactive substance or biogenic amine
injury or poisoning, disrupts, tissue
cell component, location of, body space or junction
anatomical abnormality, result of, experimental model of disease
acquired abnormality, result of, organism function
biologic function, affects, molecular function
chemical viewed structurally, affects, biologic function
experimental model of disease, result of, human caused phenomenon or process
neoplastic process, isa, pathologic function
physiologic function, affects, virus
acquired abnormality, location of, disease or syndrome
nucleic acid nucleoside or nucleotide, affects, natural phenomenon or process
fully formed anatomical structure, location of, molecular function
professional society, location of, therapeutic or preventive procedure
cell or molecular dysfunction, affects, bird
gene or genome, part of, reptile
fully formed anatomical structure, part of, amphibian
congenital abnormality, part of, plant
organ or tissue function, isa, biologic function
genetic function, affects, rickettsia or chlamydia
diagnostic procedure, isa, health care activity
immunologic factor, disrupts, cell function
injury or poisoning, disrupts, genetic function
biologically active substance, disrupts, cell function
molecular sequence, isa, entity
hazardous or poisonous substance, affects, organism function
neoplastic process, result of, congenital abnormality
professional or occupational group, isa, conceptual entity
carbohydrate sequence, isa, molecular sequence
tissue, location of, pathologic function
genetic function, result of, molecular function
physiologic function, result of, cell or molecular dysfunction
physiologic function, affects, fungus
mental process, result of, social behavior
tissue, location of, anatomical abnormality
food, affects, cell function
embryonic structure, location of, genetic function
cell or molecular dysfunction, result of, organism function
pharmacologic substance, disrupts, gene or genome
organism attribute, result of, pathologic function
cell, location of, cell or molecular dysfunction
organization, location of, therapeutic or preventive procedure
regulation or law, isa, conceptual entity
laboratory or test result, isa, entity
age group, isa, group
phenomenon or process, result of, molecular function
organophosphorus compound, affects, molecular function
anatomical abnormality, part of, human
organ or tissue function, result of, physiologic function
plant, location of, receptor
physiologic function, result of, disease or syndrome
disease or syndrome, result of, genetic function
genetic function, precedes, cell function
acquired abnormality, location of, mental or behavioral dysfunction
pharmacologic substance, affects, organ or tissue function
body space or junction, location of, diagnostic procedure
amphibian, isa, entity
congenital abnormality, part of, organism
cell, location of, disease or syndrome
organism function, precedes, organ or tissue function
body substance, isa, substance
diagnostic procedure, affects, disease or syndrome
rickettsia or chlamydia, location of, receptor
genetic function, result of, environmental effect of humans
anatomical structure, part of, fish
organ or tissue function, precedes, genetic function
fully formed anatomical structure, location of, injury or poisoning
pathologic function, result of, cell function
element ion or isotope, affects, pathologic function
clinical attribute, result of, experimental model of disease
human caused phenomenon or process, result of, molecular function
virus, location of, immunologic factor
carbohydrate, affects, biologic function
acquired abnormality, affects, invertebrate
anatomical abnormality, location of, cell or molecular dysfunction
drug delivery device, isa, entity
pharmacologic substance, isa, entity
hormone, affects, neoplastic process
hazardous or poisonous substance, disrupts, mental process
gene or genome, part of, cell component
biologically active substance, isa, physical object
phenomenon or process, result of, environmental effect of humans
physiologic function, result of, mental process
indicator reagent or diagnostic aid, affects, cell function
organism function, affects, organism attribute
neuroreactive substance or biogenic amine, affects, physiologic function
cell or molecular dysfunction, affects, organ or tissue function
carbohydrate, isa, entity
laboratory procedure, affects, cell or molecular dysfunction
organ or tissue function, affects, mammal
genetic function, result of, injury or poisoning
cell, location of, mental process
genetic function, affects, physiologic function
receptor, affects, experimental model of disease
population group, isa, entity
chemical, affects, pathologic function
organism attribute, result of, human caused phenomenon or process
body part organ or organ component, location of, experimental model of disease
anatomical abnormality, location of, disease or syndrome
diagnostic procedure, affects, mental process
cell or molecular dysfunction, affects, virus
cell function, affects, experimental model of disease
congenital abnormality, affects, invertebrate
antibiotic, disrupts, fully formed anatomical structure
injury or poisoning, result of, experimental model of disease
receptor, isa, biologically active substance
experimental model of disease, result of, cell function
hormone, affects, mental or behavioral dysfunction
phenomenon or process, result of, injury or poisoning
idea or concept, isa, entity
body location or region, isa, entity
laboratory procedure, affects, disease or syndrome
natural phenomenon or process, affects, cell function
biomedical or dental material, affects, physiologic function
gene or genome, isa, physical object
cell component, location of, cell or molecular dysfunction
physiologic function, affects, pathologic function
activity, isa, event
anatomical abnormality, result of, biologic function
mental process, result of, individual behavior
cell function, affects, amphibian
behavior, isa, event
inorganic chemical, affects, neoplastic process
anatomical abnormality, part of, virus
disease or syndrome, affects, neoplastic process
congenital abnormality, affects, archaeon
cell component, location of, disease or syndrome
laboratory procedure, affects, neoplastic process
hormone, affects, genetic function
organ or tissue function, affects, bird
therapeutic or preventive procedure, isa, event
health care activity, affects, biologic function
environmental effect of humans, result of, phenomenon or process
genetic function, isa, natural phenomenon or process
vitamin, isa, biologically active substance
body part organ or organ component, part of, bacterium
virus, location of, receptor
acquired abnormality, result of, phenomenon or process
finding, isa, conceptual entity
mental process, result of, anatomical abnormality
laboratory procedure, affects, mental process
gene or genome, part of, animal
organic chemical, affects, cell or molecular dysfunction
organ or tissue function, isa, physiologic function
molecular function, result of, acquired abnormality
anatomical abnormality, affects, amphibian
carbohydrate sequence, isa, entity
alga, location of, biologically active substance
inorganic chemical, affects, mental or behavioral dysfunction
neoplastic process, affects, plant
anatomical abnormality, part of, fungus
cell component, location of, neoplastic process
steroid, isa, entity
tissue, part of, amphibian
disease or syndrome, affects, mental or behavioral dysfunction
laboratory procedure, affects, mental or behavioral dysfunction
gene or genome, affects, molecular function
gene or genome, part of, organism
experimental model of disease, affects, genetic function
cell, part of, fish
cell component, location of, mental process
organic chemical, affects, disease or syndrome
immunologic factor, disrupts, cell component
biologically active substance, disrupts, cell component
fully formed anatomical structure, part of, rickettsia or chlamydia
laboratory procedure, isa, activity
cell component, affects, organ or tissue function
inorganic chemical, affects, genetic function
cell or molecular dysfunction, result of, phenomenon or process
cell component, location of, mental or behavioral dysfunction
disease or syndrome, affects, genetic function
lipid, affects, organism function
chemical viewed structurally, isa, entity
disease or syndrome, result of, natural phenomenon or process
biologic function, affects, bacterium
molecular function, precedes, genetic function
chemical viewed functionally, isa, physical object
experimental model of disease, affects, alga
tissue, location of, cell function
enzyme, affects, experimental model of disease
organism function, affects, fish
fully formed anatomical structure, location of, bacterium
hazardous or poisonous substance, isa, substance
neoplastic process, affects, organism
clinical attribute, result of, biologic function
organism attribute, result of, cell function
neuroreactive substance or biogenic amine, disrupts, embryonic structure
organic chemical, affects, mental process
geographic area, result of, mental process
mental process, affects, plant
disease or syndrome, affects, alga
neoplastic process, precedes, experimental model of disease
molecular function, affects, mammal
drug delivery device, isa, physical object
vitamin, isa, substance
mammal, isa, entity
congenital abnormality, isa, anatomical abnormality
receptor, affects, biologic function
pharmacologic substance, affects, cell or molecular dysfunction
anatomical abnormality, result of, laboratory procedure
cell function, affects, biologic function
mental process, result of, genetic function
vitamin, disrupts, organ or tissue function
element ion or isotope, affects, cell function
research device, isa, manufactured object
pharmacologic substance, affects, disease or syndrome
therapeutic or preventive procedure, affects, physiologic function
mental process, affects, organism
bacterium, location of, biologically active substance
organophosphorus compound, isa, chemical viewed structurally
individual behavior, isa, event
immunologic factor, isa, substance
anatomical abnormality, result of, physiologic function
disease or syndrome, result of, congenital abnormality
molecular function, affects, bird
pathologic function, precedes, neoplastic process
mental or behavioral dysfunction, affects, fish
chemical viewed functionally, affects, organ or tissue function
neoplastic process, affects, molecular function
self help or relief organization, location of, educational activity
body space or junction, location of, experimental model of disease
organ or tissue function, result of, anatomical abnormality
anatomical structure, part of, bird
chemical, affects, cell function
acquired abnormality, part of, mammal
biologically active substance, isa, chemical viewed functionally
anatomical structure, part of, human
pharmacologic substance, affects, neoplastic process
health care activity, affects, physiologic function
antibiotic, affects, organ or tissue function
hormone, affects, natural phenomenon or process
cell or molecular dysfunction, affects, disease or syndrome
plant, location of, enzyme
pharmacologic substance, affects, mental process
body part organ or organ component, location of, rickettsia or chlamydia
physiologic function, affects, cell function
cell function, affects, rickettsia or chlamydia
molecular function, result of, organism function
self help or relief organization, location of, molecular biology research technique
organism function, precedes, mental process
mental or behavioral dysfunction, precedes, cell or molecular dysfunction
neuroreactive substance or biogenic amine, affects, pathologic function
health care related organization, location of, laboratory procedure
organ or tissue function, result of, neoplastic process
cell function, result of, molecular function
steroid, isa, physical object
pharmacologic substance, affects, mental or behavioral dysfunction
body location or region, location of, body part organ or organ component
antibiotic, isa, entity
cell, part of, body part organ or organ component
rickettsia or chlamydia, location of, enzyme
cell or molecular dysfunction, affects, vertebrate
neoplastic process, affects, invertebrate
natural phenomenon or process, result of, environmental effect of humans
experimental model of disease, result of, acquired abnormality
gene or genome, location of, organ or tissue function
experimental model of disease, affects, natural phenomenon or process
mental process, affects, clinical attribute
acquired abnormality, part of, bird
mental or behavioral dysfunction, precedes, disease or syndrome
machine activity, isa, activity
congenital abnormality, part of, bacterium
cell or molecular dysfunction, affects, mental process
clinical attribute, isa, organism attribute
biomedical or dental material, affects, pathologic function
mental process, affects, molecular function
nucleic acid nucleoside or nucleotide, isa, entity
organism function, affects, rickettsia or chlamydia
natural phenomenon or process, isa, event
cell, isa, fully formed anatomical structure
self help or relief organization, isa, organization
inorganic chemical, affects, natural phenomenon or process
regulation or law, affects, professional or occupational group
pathologic function, result of, health care activity
pharmacologic substance, affects, genetic function
disease or syndrome, result of, acquired abnormality
disease or syndrome, affects, natural phenomenon or process
enzyme, affects, biologic function
chemical viewed structurally, isa, physical object
natural phenomenon or process, result of, injury or poisoning
tissue, location of, congenital abnormality
amino acid sequence, isa, conceptual entity
body part organ or organ component, part of, amphibian
injury or poisoning, result of, laboratory procedure
pathologic function, affects, mammal
cell function, result of, environmental effect of humans
clinical attribute, result of, physiologic function
body space or junction, result of, mental process
molecular function, affects, organ or tissue function
organism function, result of, organ or tissue function
immunologic factor, disrupts, fully formed anatomical structure
biologically active substance, disrupts, fully formed anatomical structure
behavior, affects, social behavior
organ or tissue function, result of, genetic function
sign or symptom, isa, conceptual entity
anatomical structure, part of, virus
experimental model of disease, result of, health care activity
immunologic factor, disrupts, organism function
biologically active substance, disrupts, organism function
diagnostic procedure, affects, patient or disabled group
receptor, affects, physiologic function
physiologic function, affects, reptile
body part organ or organ component, location of, physiologic function
cell function, affects, physiologic function
injury or poisoning, result of, physiologic function
organic chemical, isa, entity
cell, part of, human
food, affects, organism function
diagnostic procedure, isa, event
lipid, isa, physical object
physiologic function, isa, phenomenon or process
mental process, result of, natural phenomenon or process
health care related organization, location of, research activity
congenital abnormality, result of, environmental effect of humans
virus, location of, enzyme
chemical viewed structurally, affects, neoplastic process
pathologic function, affects, bird
plant, isa, organism
research device, isa, entity
age group, isa, entity
organ or tissue function, affects, cell or molecular dysfunction
injury or poisoning, isa, event
genetic function, precedes, organism function
body space or junction, location of, biologic function
classification, isa, conceptual entity
anatomical abnormality, affects, physiologic function
tissue, location of, acquired abnormality
cell component, part of, mammal
pathologic function, result of, environmental effect of humans
organism function, affects, human
mental or behavioral dysfunction, result of, organ or tissue function
congenital abnormality, result of, injury or poisoning
pharmacologic substance, isa, chemical viewed functionally
cell component, affects, mental process
vitamin, affects, organism function
chemical viewed structurally, affects, mental or behavioral dysfunction
pathologic function, result of, organism function
organophosphorus compound, affects, experimental model of disease
congenital abnormality, location of, neoplastic process
indicator reagent or diagnostic aid, affects, organism function
genetic function, affects, alga
pathologic function, result of, injury or poisoning
organ or tissue function, affects, neoplastic process
patient or disabled group, isa, group
body substance, isa, physical object
chemical viewed structurally, affects, genetic function
behavior, affects, individual behavior
molecular function, result of, phenomenon or process
hazardous or poisonous substance, disrupts, molecular function
alga, isa, physical object
human caused phenomenon or process, result of, experimental model of disease
cell component, part of, bird
mental process, result of, congenital abnormality
experimental model of disease, result of, organism function
congenital abnormality, location of, mental or behavioral dysfunction
antibiotic, affects, cell or molecular dysfunction
inorganic chemical, isa, physical object
amphibian, isa, vertebrate
natural phenomenon or process, affects, organism function
diagnostic procedure, isa, occupational activity
eicosanoid, isa, chemical viewed structurally
chemical viewed functionally, affects, disease or syndrome
temporal concept, isa, conceptual entity
reptile, isa, entity
embryonic structure, part of, plant
organ or tissue function, affects, mental or behavioral dysfunction
body part organ or organ component, location of, virus
cell or molecular dysfunction, affects, reptile
cell, part of, virus
therapeutic or preventive procedure, affects, pathologic function
neoplastic process, affects, bacterium
carbohydrate, affects, neoplastic process
mental or behavioral dysfunction, affects, human
anatomical abnormality, result of, pathologic function
neuroreactive substance or biogenic amine, affects, cell function
organization, isa, conceptual entity
pharmacologic substance, affects, natural phenomenon or process
antibiotic, affects, disease or syndrome
enzyme, affects, physiologic function
vitamin, disrupts, mental process
acquired abnormality, affects, fish
pathologic function, isa, natural phenomenon or process
physiologic function, result of, environmental effect of humans
gene or genome, location of, cell or molecular dysfunction
hazardous or poisonous substance, isa, chemical
body part organ or organ component, location of, fungus
archaeon, isa, organism
virus, isa, entity
cell, part of, fungus
neuroreactive substance or biogenic amine, disrupts, body part organ or organ component
organ or tissue function, affects, genetic function
biomedical or dental material, affects, cell function
chemical viewed functionally, affects, mental process
organ or tissue function, result of, natural phenomenon or process
organism function, affects, virus
anatomical abnormality, part of, reptile
neoplastic process, result of, experimental model of disease
congenital abnormality, affects, fish
inorganic chemical, affects, molecular function
physiologic function, affects, animal
disease or syndrome, affects, molecular function
antibiotic, affects, mental process
pathologic function, result of, behavior
laboratory procedure, affects, molecular function
organophosphorus compound, isa, substance
fully formed anatomical structure, location of, biologic function
physiologic function, result of, injury or poisoning
body space or junction, isa, conceptual entity
mental process, result of, acquired abnormality
amino acid peptide or protein, affects, organ or tissue function
molecular function, affects, cell or molecular dysfunction
mental process, affects, bacterium
organism function, result of, cell or molecular dysfunction
organization, location of, health care activity
organism function, affects, fungus
carbohydrate, affects, genetic function
body location or region, location of, therapeutic or preventive procedure
antibiotic, affects, mental or behavioral dysfunction
body part organ or organ component, location of, therapeutic or preventive procedure
biologic function, result of, cell or molecular dysfunction
cell, location of, injury or poisoning
biologically active substance, affects, organ or tissue function
health care activity, affects, neoplastic process
injury or poisoning, result of, therapeutic or preventive procedure
genetic function, result of, biologic function
gene or genome, location of, neoplastic process
body system, isa, entity
cell component, location of, molecular function
experimental model of disease, affects, invertebrate
anatomical abnormality, result of, human caused phenomenon or process
environmental effect of humans, isa, human caused phenomenon or process
body space or junction, location of, physiologic function
molecular function, affects, disease or syndrome
mental process, precedes, physiologic function
clinical attribute, isa, entity
organism function, result of, disease or syndrome
gene or genome, location of, mental process
immunologic factor, isa, chemical
experimental model of disease, result of, behavior
genetic function, affects, natural phenomenon or process
group, isa, entity
phenomenon or process, result of, biologic function
organophosphorus compound, affects, biologic function
organism attribute, result of, organism function
amino acid sequence, isa, spatial concept
nucleic acid nucleoside or nucleotide, affects, experimental model of disease
rickettsia or chlamydia, isa, physical object
anatomical structure, location of, bacterium
disease or syndrome, affects, invertebrate
clinical attribute, result of, pathologic function
bacterium, isa, physical object
invertebrate, isa, entity
individual behavior, result of, mental process
mental or behavioral dysfunction, affects, virus
gene or genome, location of, mental or behavioral dysfunction
immunologic factor, disrupts, embryonic structure
biologically active substance, disrupts, embryonic structure
social behavior, affects, mental process
molecular function, affects, neoplastic process
receptor, isa, physical object
experimental model of disease, affects, archaeon
biologic function, result of, neoplastic process
genetic function, isa, phenomenon or process
neuroreactive substance or biogenic amine, isa, chemical
organ or tissue function, result of, congenital abnormality
organism attribute, result of, injury or poisoning
anatomical structure, part of, vertebrate
antibiotic, isa, pharmacologic substance
cell or molecular dysfunction, affects, plant
receptor, affects, pathologic function
molecular function, affects, mental process
body part organ or organ component, location of, pathologic function
body location or region, location of, pathologic function
organism function, result of, mental process
biologic function, result of, mental process
human caused phenomenon or process, result of, biologic function
cell function, affects, pathologic function
mental or behavioral dysfunction, result of, cell or molecular dysfunction
health care activity, affects, genetic function
mental or behavioral dysfunction, affects, fungus
chemical viewed structurally, affects, natural phenomenon or process
injury or poisoning, result of, pathologic function
gene or genome, location of, genetic function
element ion or isotope, affects, organism function
fungus, isa, entity
fully formed anatomical structure, part of, alga
molecular function, affects, mental or behavioral dysfunction
enzyme, disrupts, embryonic structure
biologic function, result of, mental or behavioral dysfunction
acquired abnormality, affects, rickettsia or chlamydia
cell or molecular dysfunction, isa, event
cell component, location of, injury or poisoning
acquired abnormality, location of, bacterium
organ or tissue function, isa, natural phenomenon or process
experimental model of disease, result of, phenomenon or process
occupation or discipline, isa, conceptual entity
mental or behavioral dysfunction, result of, disease or syndrome
hormone, disrupts, body part organ or organ component
physiologic function, affects, archaeon
indicator reagent or diagnostic aid, isa, substance
organism function, affects, pathologic function
chemical, affects, organism function
embryonic structure, part of, invertebrate
human caused phenomenon or process, isa, phenomenon or process
acquired abnormality, part of, vertebrate
congenital abnormality, affects, rickettsia or chlamydia
cell or molecular dysfunction, affects, organism
disease or syndrome, result of, phenomenon or process
biologic function, result of, genetic function
acquired abnormality, result of, organ or tissue function
cell or molecular dysfunction, precedes, experimental model of disease
physiologic function, affects, organism function
amino acid sequence, isa, molecular sequence
virus, isa, physical object
antibiotic, isa, chemical viewed functionally
organ or tissue function, result of, acquired abnormality
organ or tissue function, affects, natural phenomenon or process
anatomical abnormality, part of, animal
therapeutic or preventive procedure, affects, cell function
neoplastic process, affects, experimental model of disease
mental or behavioral dysfunction, result of, mental process
pathologic function, affects, cell or molecular dysfunction
anatomical abnormality, result of, cell function
injury or poisoning, result of, human caused phenomenon or process
pharmacologic substance, affects, molecular function
immunologic factor, affects, pathologic function
hazardous or poisonous substance, affects, organ or tissue function
tissue, isa, anatomical structure
organism function, precedes, molecular function
social behavior, isa, behavior
neoplastic process, affects, amphibian
cell or molecular dysfunction, result of, organ or tissue function
carbohydrate, affects, natural phenomenon or process
neoplastic process, isa, phenomenon or process
enzyme, isa, substance
genetic function, result of, physiologic function
cell function, precedes, organism function
cell, part of, vertebrate
cell function, result of, experimental model of disease
plant, location of, vitamin
enzyme, affects, pathologic function
acquired abnormality, affects, human
biomedical occupation or discipline, isa, conceptual entity
organophosphorus compound, affects, physiologic function
pathologic function, affects, neoplastic process
amino acid peptide or protein, affects, cell or molecular dysfunction
professional society, location of, diagnostic procedure
acquired abnormality, result of, therapeutic or preventive procedure
neoplastic process, precedes, pathologic function
spatial concept, isa, entity
cell component, location of, diagnostic procedure
anatomical abnormality, location of, bacterium
geographic area, isa, idea or concept
organ or tissue function, affects, plant
cell function, affects, alga
organism function, affects, vertebrate
congenital abnormality, affects, human
anatomical abnormality, affects, genetic function
disease or syndrome, affects, bacterium
amino acid peptide or protein, affects, disease or syndrome
pathologic function, affects, mental or behavioral dysfunction
biologically active substance, affects, disease or syndrome
human caused phenomenon or process, result of, physiologic function
anatomical structure, part of, reptile
clinical attribute, result of, cell function
cell or molecular dysfunction, result of, therapeutic or preventive procedure
anatomical abnormality, affects, alga
cell component, location of, bacterium
health care related organization, location of, educational activity
amino acid peptide or protein, affects, neoplastic process
neoplastic process, result of, laboratory procedure
tissue, part of, alga
embryonic structure, isa, entity
anatomical abnormality, part of, archaeon
pathologic function, affects, genetic function
body space or junction, location of, pathologic function
nucleotide sequence, result of, mental process
receptor, affects, cell function
medical device, isa, physical object
amino acid peptide or protein, affects, mental process
amphibian, isa, animal
body part organ or organ component, location of, cell function
body location or region, location of, cell function
cell component, part of, vertebrate
body space or junction, location of, anatomical abnormality
biologically active substance, affects, mental process
injury or poisoning, result of, cell function
health care related organization, location of, molecular biology research technique
amino acid peptide or protein, affects, mental or behavioral dysfunction
eicosanoid, affects, neoplastic process
pharmacologic substance, disrupts, tissue
biologic function, result of, natural phenomenon or process
mental or behavioral dysfunction, affects, vertebrate
pathologic function, affects, alga
receptor, disrupts, body part organ or organ component
neoplastic process, affects, biologic function
neoplastic process, result of, physiologic function
acquired abnormality, affects, virus
embryonic structure, part of, bacterium
natural phenomenon or process, result of, biologic function
cell component, affects, molecular function
virus, location of, vitamin
gene or genome, part of, mammal
cell or molecular dysfunction, isa, biologic function
body space or junction, location of, body substance
organism function, affects, cell function
patient or disabled group, isa, entity
amino acid peptide or protein, affects, genetic function
eicosanoid, affects, mental or behavioral dysfunction
chemical, isa, substance
congenital abnormality, affects, virus
acquired abnormality, result of, cell or molecular dysfunction
genetic function, affects, archaeon
acquired abnormality, affects, fungus
pharmacologic substance, disrupts, genetic function
environmental effect of humans, result of, human caused phenomenon or process
cell function, result of, biologic function
mental process, result of, phenomenon or process
gene or genome, affects, physiologic function
organ or tissue function, affects, molecular function
neuroreactive substance or biogenic amine, disrupts, cell
neuroreactive substance or biogenic amine, affects, organism function
receptor, affects, natural phenomenon or process
acquired abnormality, result of, disease or syndrome
lipid, affects, organ or tissue function
eicosanoid, affects, genetic function
immunologic factor, affects, cell function
nucleic acid nucleoside or nucleotide, affects, physiologic function
congenital abnormality, affects, fungus
gene or genome, part of, bird
hazardous or poisonous substance, affects, cell or molecular dysfunction
mental process, affects, biologic function
fungus, location of, hormone
animal, isa, physical object
tissue, isa, entity
hormone, affects, experimental model of disease
molecular function, affects, plant
cell, part of, reptile
anatomical structure, part of, plant
receptor, disrupts, physiologic function
