pharmacologic substance, complicates, anatomical abnormality
cell component, produces, biologically active substance
chemical viewed structurally, causes, neoplastic process
neoplastic process, result of, genetic function
fully formed anatomical structure, produces, vitamin
pharmacologic substance, complicates, congenital abnormality
mental or behavioral dysfunction, precedes, neoplastic process
mammal, isa, organism
molecular function, affects, organism
lipid, isa, chemical viewed structurally
medical device, causes, experimental model of disease
anatomical structure, isa, physical object
steroid, affects, cell or molecular dysfunction
embryonic structure, part of, organism
molecular biology research technique, measures, chemical
element ion or isotope, interacts with, indicator reagent or diagnostic aid
pharmacologic substance, causes, congenital abnormality
enzyme, disrupts, tissue
mental process, result of, neoplastic process
organism function, affects, fish
body space or junction, location of, mental or behavioral dysfunction
physiologic function, process of, mental or behavioral dysfunction
experimental model of disease, affects, disease or syndrome
lipid, affects, neoplastic process
molecular function, result of, biologic function
biologic function, process of, invertebrate
pathologic function, degree of, disease or syndrome
hormone, affects, biologic function
fully formed anatomical structure, part of, fish
research activity, measures, cell function
neoplastic process, result of, mental or behavioral dysfunction
governmental or regulatory activity, associated with, pathologic function
biologically active substance, isa, chemical viewed functionally
plant, isa, physical object
health care related organization, carries out, research activity
self help or relief organization, location of, governmental or regulatory activity
vitamin, affects, mental or behavioral dysfunction
anatomical abnormality, manifestation of, neoplastic process
pathologic function, occurs in, mental or behavioral dysfunction
anatomical abnormality, location of, mental or behavioral dysfunction
nucleic acid nucleoside or nucleotide, interacts with, steroid
phenomenon or process, result of, pathologic function
pathologic function, produces, biologically active substance
fish, issue in, biomedical occupation or discipline
bird, interacts with, organism
carbohydrate, affects, cell function
biologic function, result of, natural phenomenon or process
chemical viewed structurally, interacts with, antibiotic
biologically active substance, disrupts, cell
virus, causes, experimental model of disease
body space or junction, connected to, tissue
laboratory procedure, measures, pathologic function
inorganic chemical, isa, substance
laboratory procedure, measures, carbohydrate
pharmacologic substance, treats, pathologic function
antibiotic, affects, neoplastic process
food, causes, mental or behavioral dysfunction
research activity, measures, vitamin
anatomical structure, part of, organism
pharmacologic substance, prevents, experimental model of disease
pathologic function, result of, injury or poisoning
neoplastic process, process of, organ or tissue function
pharmacologic substance, disrupts, molecular function
pharmacologic substance, isa, substance
organ or tissue function, process of, neoplastic process
self help or relief organization, carries out, molecular biology research technique
pathologic function, produces, enzyme
congenital abnormality, result of, experimental model of disease
hazardous or poisonous substance, complicates, experimental model of disease
mental or behavioral dysfunction, co-occurs with, experimental model of disease
cell or molecular dysfunction, result of, mental or behavioral dysfunction
chemical viewed functionally, affects, pathologic function
body location or region, location of, pathologic function
organophosphorus compound, interacts with, carbohydrate
mental or behavioral dysfunction, affects, neoplastic process
hazardous or poisonous substance, causes, experimental model of disease
sign or symptom, diagnoses, pathologic function
fully formed anatomical structure, produces, receptor
tissue, isa, fully formed anatomical structure
biologically active substance, interacts with, immunologic factor
manufactured object, isa, entity
pathologic function, affects, fungus
vitamin, disrupts, embryonic structure
pharmacologic substance, complicates, molecular function
fully formed anatomical structure, isa, entity
cell function, process of, experimental model of disease
pharmacologic substance, complicates, biologic function
experimental model of disease, produces, enzyme
element ion or isotope, affects, experimental model of disease
experimental model of disease, co-occurs with, anatomical abnormality
experimental model of disease, affects, neoplastic process
fungus, causes, mental or behavioral dysfunction
research activity, measures, cell or molecular dysfunction
pharmacologic substance, diagnoses, mental or behavioral dysfunction
pathologic function, degree of, neoplastic process
embryonic structure, location of, pathologic function
tissue, part of, reptile
neoplastic process, result of, phenomenon or process
body part organ or organ component, connected to, tissue
steroid, isa, entity
embryonic structure, location of, rickettsia or chlamydia
biomedical or dental material, affects, biologic function
neoplastic process, affects, amphibian
mental or behavioral dysfunction, produces, hormone
research activity, measures, chemical viewed structurally
pathologic function, process of, molecular function
hormone, complicates, biologic function
disease or syndrome, associated with, neoplastic process
congenital abnormality, location of, experimental model of disease
element ion or isotope, affects, mental process
pathologic function, process of, biologic function
neoplastic process, process of, bacterium
chemical viewed structurally, affects, cell or molecular dysfunction
neoplastic process, result of, disease or syndrome
mental or behavioral dysfunction, process of, mammal
mental or behavioral dysfunction, process of, molecular function
vitamin, causes, experimental model of disease
mental or behavioral dysfunction, process of, biologic function
self help or relief organization, produces, intellectual product
bacterium, interacts with, fish
pathologic function, affects, natural phenomenon or process
embryonic structure, surrounds, cell
pathologic function, occurs in, disease or syndrome
cell function, result of, pathologic function
element ion or isotope, causes, cell or molecular dysfunction
laboratory procedure, analyzes, inorganic chemical
molecular biology research technique, measures, biologically active substance
mental or behavioral dysfunction, affects, natural phenomenon or process
rickettsia or chlamydia, interacts with, fish
biologically active substance, affects, mental or behavioral dysfunction
experimental model of disease, process of, mammal
experimental model of disease, process of, molecular function
research activity, measures, organism function
laboratory or test result, manifestation of, neoplastic process
experimental model of disease, process of, biologic function
receptor, complicates, mental or behavioral dysfunction
environmental effect of humans, result of, neoplastic process
disease or syndrome, complicates, mental or behavioral dysfunction
element ion or isotope, interacts with, biomedical or dental material
organism function, affects, neoplastic process
neoplastic process, process of, virus
food, causes, disease or syndrome
gene or genome, location of, mental or behavioral dysfunction
embryonic structure, location of, genetic function
cell function, affects, mental or behavioral dysfunction
inorganic chemical, interacts with, vitamin
acquired abnormality, location of, experimental model of disease
receptor, causes, mental or behavioral dysfunction
experimental model of disease, affects, natural phenomenon or process
professional society, location of, research activity
neoplastic process, complicates, disease or syndrome
fish, interacts with, mammal
carbohydrate, affects, organism function
inorganic chemical, affects, pathologic function
chemical, affects, experimental model of disease
pharmacologic substance, complicates, organ or tissue function
molecular function, process of, mental or behavioral dysfunction
indicator reagent or diagnostic aid, affects, biologic function
diagnostic procedure, measures, carbohydrate
mental or behavioral dysfunction, complicates, congenital abnormality
pharmacologic substance, affects, pathologic function
organism attribute, result of, biologic function
pathologic function, affects, cell function
laboratory procedure, assesses effect of, neoplastic process
research activity, associated with, pathologic function
pharmacologic substance, issue in, biomedical occupation or discipline
laboratory procedure, measures, chemical
immunologic factor, complicates, biologic function
congenital abnormality, manifestation of, experimental model of disease
neuroreactive substance or biogenic amine, interacts with, chemical
organ or tissue function, result of, biologic function
mental or behavioral dysfunction, result of, laboratory procedure
nucleic acid nucleoside or nucleotide, causes, experimental model of disease
neuroreactive substance or biogenic amine, complicates, mental or behavioral dysfunction
finding, associated with, mental or behavioral dysfunction
cell, location of, mental or behavioral dysfunction
pathologic function, process of, organ or tissue function
sign or symptom, manifestation of, biologic function
body space or junction, location of, neoplastic process
molecular function, result of, pathologic function
hormone, affects, pathologic function
research activity, measures, physiologic function
cell function, affects, fish
pharmacologic substance, diagnoses, disease or syndrome
rickettsia or chlamydia, isa, physical object
invertebrate, causes, neoplastic process
chemical viewed structurally, interacts with, lipid
organism function, process of, biologic function
mental or behavioral dysfunction, process of, organ or tissue function
biologically active substance, disrupts, molecular function
biologically active substance, isa, substance
cell, produces, steroid
laboratory procedure, associated with, mental or behavioral dysfunction
organophosphorus compound, interacts with, chemical
biologic function, affects, mental or behavioral dysfunction
health care activity, associated with, experimental model of disease
vitamin, affects, neoplastic process
pharmacologic substance, interacts with, biomedical or dental material
archaeon, isa, physical object
food, causes, injury or poisoning
pathologic function, occurs in, neoplastic process
tissue, location of, therapeutic or preventive procedure
anatomical abnormality, location of, neoplastic process
carbohydrate, affects, physiologic function
biologically active substance, complicates, experimental model of disease
biologic function, produces, biologically active substance
experimental model of disease, process of, organ or tissue function
experimental model of disease, occurs in, injury or poisoning
mental or behavioral dysfunction, complicates, acquired abnormality
neoplastic process, complicates, injury or poisoning
injury or poisoning, result of, biologic function
mental or behavioral dysfunction, result of, therapeutic or preventive procedure
biologically active substance, complicates, anatomical abnormality
chemical viewed structurally, isa, substance
carbohydrate, causes, cell or molecular dysfunction
neoplastic process, associated with, pathologic function
neoplastic process, manifestation of, cell or molecular dysfunction
body part organ or organ component, adjacent to, tissue
biologically active substance, causes, experimental model of disease
diagnostic procedure, diagnoses, experimental model of disease
tissue, contains, body substance
mental or behavioral dysfunction, affects, human
fully formed anatomical structure, contains, body substance
food, causes, neoplastic process
biologically active substance, causes, anatomical abnormality
neoplastic process, process of, invertebrate
self help or relief organization, isa, conceptual entity
experimental model of disease, affects, plant
biologically active substance, affects, disease or syndrome
neoplastic process, isa, biologic function
biologically active substance, complicates, mental process
embryonic structure, part of, bird
inorganic chemical, interacts with, receptor
steroid, causes, mental or behavioral dysfunction
therapeutic or preventive procedure, associated with, pathologic function
biologic function, result of, experimental model of disease
amino acid peptide or protein, interacts with, carbohydrate
carbohydrate, interacts with, biomedical or dental material
experimental model of disease, occurs in, neoplastic process
disease or syndrome, co-occurs with, mental or behavioral dysfunction
body part organ or organ component, location of, neoplastic process
biologic function, affects, fish
experimental model of disease, produces, immunologic factor
biologic function, result of, anatomical abnormality
organic chemical, interacts with, element ion or isotope
pathologic function, manifestation of, genetic function
biologic function, produces, enzyme
diagnostic procedure, measures, mental or behavioral dysfunction
pathologic function, process of, bacterium
physiologic function, result of, mental or behavioral dysfunction
pathologic function, precedes, experimental model of disease
organism, issue in, biomedical occupation or discipline
organic chemical, causes, mental or behavioral dysfunction
cell or molecular dysfunction, result of, neoplastic process
group, performs, research activity
chemical viewed structurally, causes, experimental model of disease
experimental model of disease, affects, human
mental or behavioral dysfunction, manifestation of, genetic function
element ion or isotope, issue in, occupation or discipline
immunologic factor, interacts with, chemical
anatomical structure, issue in, occupation or discipline
mental or behavioral dysfunction, precedes, experimental model of disease
enzyme, disrupts, embryonic structure
chemical viewed structurally, causes, anatomical abnormality
diagnostic procedure, assesses effect of, steroid
biologic function, result of, mental process
neoplastic process, affects, vertebrate
neoplastic process, result of, natural phenomenon or process
genetic function, process of, pathologic function
medical device, isa, physical object
mental process, result of, experimental model of disease
organic chemical, isa, chemical
lipid, affects, experimental model of disease
neoplastic process, manifestation of, organism function
experimental model of disease, manifestation of, genetic function
research activity, measures, chemical viewed functionally
experimental model of disease, process of, bacterium
pharmacologic substance, diagnoses, neoplastic process
biologically active substance, disrupts, organ or tissue function
diagnostic procedure, uses, manufactured object
therapeutic or preventive procedure, complicates, biologic function
pathologic function, process of, virus
biomedical or dental material, affects, pathologic function
clinical drug, causes, mental or behavioral dysfunction
anatomical structure, part of, bird
pathologic function, affects, reptile
nucleic acid nucleoside or nucleotide, interacts with, inorganic chemical
anatomical abnormality, manifestation of, experimental model of disease
tissue, location of, organ or tissue function
experimental model of disease, co-occurs with, congenital abnormality
fully formed anatomical structure, location of, organ or tissue function
pathologic function, occurs in, group
cell or molecular dysfunction, complicates, neoplastic process
cell component, location of, mental or behavioral dysfunction
mental or behavioral dysfunction, affects, reptile
experimental model of disease, manifestation of, mental or behavioral dysfunction
drug delivery device, treats, mental or behavioral dysfunction
mental or behavioral dysfunction, result of, organ or tissue function
fully formed anatomical structure, part of, plant
mental process, process of, fish
pharmacologic substance, ingredient of, clinical drug
mental or behavioral dysfunction, process of, pathologic function
biologic function, affects, disease or syndrome
diagnostic procedure, measures, chemical
fully formed anatomical structure, issue in, biomedical occupation or discipline
biologic function, process of, organism
eicosanoid, interacts with, element ion or isotope
pathologic function, result of, cell or molecular dysfunction
patient or disabled group, produces, manufactured object
steroid, isa, chemical viewed structurally
laboratory procedure, measures, biologically active substance
fungus, interacts with, organism
experimental model of disease, process of, virus
antibiotic, affects, experimental model of disease
therapeutic or preventive procedure, treats, mental or behavioral dysfunction
experimental model of disease, affects, reptile
virus, location of, biologically active substance
genetic function, affects, organism
fully formed anatomical structure, part of, human
biologically active substance, affects, neoplastic process
self help or relief organization, location of, research activity
organ or tissue function, process of, experimental model of disease
experimental model of disease, process of, pathologic function
disease or syndrome, complicates, neoplastic process
medical device, treats, mental or behavioral dysfunction
chemical, issue in, occupation or discipline
body substance, consists of, carbohydrate
mental or behavioral dysfunction, affects, experimental model of disease
tissue, part of, amphibian
fully formed anatomical structure, produces, hormone
cell function, affects, neoplastic process
experimental model of disease, result of, cell or molecular dysfunction
cell or molecular dysfunction, associated with, experimental model of disease
molecular biology research technique, measures, chemical viewed structurally
tissue, location of, body space or junction
cell or molecular dysfunction, affects, organism
fungus, isa, organism
pathologic function, affects, mental process
diagnostic procedure, analyzes, chemical viewed structurally
pathologic function, co-occurs with, anatomical abnormality
pathologic function, result of, behavior
pharmacologic substance, isa, physical object
antibiotic, diagnoses, pathologic function
pathologic function, complicates, cell or molecular dysfunction
pathologic function, affects, physiologic function
antibiotic, disrupts, tissue
mental or behavioral dysfunction, affects, mental process
steroid, interacts with, biologically active substance
organism attribute, result of, pathologic function
diagnostic procedure, assesses effect of, pharmacologic substance
food, affects, cell or molecular dysfunction
experimental model of disease, degree of, cell or molecular dysfunction
pathologic function, degree of, experimental model of disease
steroid, ingredient of, clinical drug
embryonic structure, part of, amphibian
experimental model of disease, process of, alga
organ or tissue function, result of, pathologic function
congenital abnormality, result of, biologic function
laboratory or test result, indicates, mental or behavioral dysfunction
hazardous or poisonous substance, complicates, biologic function
hormone, isa, physical object
pathologic function, process of, invertebrate
sign or symptom, manifestation of, pathologic function
neuroreactive substance or biogenic amine, complicates, neoplastic process
finding, associated with, neoplastic process
amino acid peptide or protein, interacts with, chemical
cell, location of, neoplastic process
pathologic function, process of, fish
disease or syndrome, associated with, experimental model of disease
injury or poisoning, disrupts, tissue
experimental model of disease, affects, mental process
mental or behavioral dysfunction, process of, invertebrate
organism function, process of, pathologic function
inorganic chemical, interacts with, chemical viewed functionally
experimental model of disease, result of, behavior
lipid, causes, experimental model of disease
embryonic structure, location of, fungus
mental or behavioral dysfunction, isa, biologic function
daily or recreational activity, associated with, neoplastic process
experimental model of disease, result of, organism function
enzyme, affects, neoplastic process
organophosphorus compound, isa, physical object
biologically active substance, affects, natural phenomenon or process
fully formed anatomical structure, location of, virus
laboratory procedure, associated with, neoplastic process
educational activity, associated with, pathologic function
amino acid peptide or protein, causes, mental or behavioral dysfunction
biologic function, affects, neoplastic process
element ion or isotope, affects, molecular function
cell function, process of, biologic function
biologic function, issue in, biomedical occupation or discipline
biologic function, process of, cell or molecular dysfunction
population group, associated with, mental or behavioral dysfunction
element ion or isotope, affects, biologic function
tissue, developmental form of, body part organ or organ component
gene or genome, part of, tissue
experimental model of disease, process of, invertebrate
clinical attribute, result of, pathologic function
experimental model of disease, isa, biologic function
laboratory or test result, manifestation of, experimental model of disease
experimental model of disease, result of, individual behavior
substance, causes, mental or behavioral dysfunction
environmental effect of humans, result of, experimental model of disease
anatomical structure, part of, amphibian
organism function, affects, experimental model of disease
inorganic chemical, causes, disease or syndrome
neoplastic process, produces, tissue
inorganic chemical, interacts with, hazardous or poisonous substance
neoplastic process, isa, pathologic function
organism, isa, physical object
biologically active substance, complicates, congenital abnormality
biologic function, result of, environmental effect of humans
experimental model of disease, occurs in, population group
neoplastic process, affects, mental or behavioral dysfunction
plant, location of, biologically active substance
receptor, affects, pathologic function
biologically active substance, causes, congenital abnormality
physiologic function, result of, neoplastic process
organic chemical, causes, neoplastic process
neoplastic process, occurs in, mental or behavioral dysfunction
nucleic acid nucleoside or nucleotide, isa, chemical
sign or symptom, associated with, mental or behavioral dysfunction
immunologic factor, isa, physical object
laboratory procedure, assesses effect of, experimental model of disease
neoplastic process, produces, biologically active substance
steroid, interacts with, eicosanoid
biologic function, result of, congenital abnormality
mental process, process of, neoplastic process
tissue, produces, steroid
research activity, issue in, occupation or discipline
injury or poisoning, complicates, pathologic function
self help or relief organization, location of, educational activity
hazardous or poisonous substance, affects, pathologic function
mental or behavioral dysfunction, complicates, pathologic function
biomedical or dental material, isa, chemical
drug delivery device, causes, pathologic function
tissue, produces, immunologic factor
body space or junction, location of, experimental model of disease
physiologic function, process of, experimental model of disease
animal, interacts with, fish
chemical viewed structurally, causes, congenital abnormality
invertebrate, causes, experimental model of disease
therapeutic or preventive procedure, complicates, pathologic function
chemical, affects, molecular function
anatomical abnormality, affects, organism
chemical viewed structurally, interacts with, biologically active substance
embryonic structure, issue in, biomedical occupation or discipline
chemical, affects, biologic function
food, isa, substance
cell, isa, anatomical structure
biologically active substance, associated with, virus
element ion or isotope, affects, organ or tissue function
clinical drug, causes, neoplastic process
chemical viewed structurally, ingredient of, clinical drug
biologically active substance, complicates, acquired abnormality
pharmacologic substance, complicates, injury or poisoning
archaeon, isa, organism
vitamin, affects, experimental model of disease
embryonic structure, location of, cell function
inorganic chemical, causes, injury or poisoning
anatomical abnormality, location of, experimental model of disease
mental or behavioral dysfunction, occurs in, patient or disabled group
cell component, location of, neoplastic process
biologically active substance, causes, acquired abnormality
pharmacologic substance, disrupts, tissue
pharmacologic substance, causes, injury or poisoning
congenital abnormality, manifestation of, biologic function
medical device, causes, pathologic function
biologically active substance, isa, chemical
neoplastic process, result of, mental process
body space or junction, contains, tissue
natural phenomenon or process, result of, pathologic function
pathologic function, occurs in, family group
laboratory or test result, measurement of, pharmacologic substance
molecular biology research technique, associated with, neoplastic process
inorganic chemical, interacts with, hormone
biologically active substance, interacts with, indicator reagent or diagnostic aid
food, causes, experimental model of disease
mental or behavioral dysfunction, issue in, occupation or discipline
inorganic chemical, causes, neoplastic process
carbohydrate, interacts with, enzyme
amino acid peptide or protein, interacts with, biologically active substance
plant, interacts with, fish
steroid, interacts with, vitamin
food, causes, anatomical abnormality
body part organ or organ component, location of, experimental model of disease
body space or junction, conceptual part of, fully formed anatomical structure
chemical viewed structurally, causes, acquired abnormality
cell or molecular dysfunction, process of, mental or behavioral dysfunction
neoplastic process, complicates, experimental model of disease
chemical viewed structurally, isa, chemical
neoplastic process, result of, health care activity
organophosphorus compound, interacts with, steroid
disease or syndrome, affects, mental or behavioral dysfunction
cell or molecular dysfunction, result of, experimental model of disease
neoplastic process, complicates, anatomical abnormality
medical device, treats, neoplastic process
biologically active substance, complicates, molecular function
steroid, affects, pathologic function
physical object, issue in, biomedical occupation or discipline
embryonic structure, part of, vertebrate
biologically active substance, complicates, biologic function
diagnostic procedure, assesses effect of, inorganic chemical
drug delivery device, isa, physical object
gene or genome, part of, organism
experimental model of disease, occurs in, family group
clinical drug, isa, manufactured object
laboratory procedure, assesses effect of, element ion or isotope
virus, causes, pathologic function
vertebrate, interacts with, fish
neoplastic process, affects, disease or syndrome
mental or behavioral dysfunction, result of, phenomenon or process
neoplastic process, process of, organism
gene or genome, produces, biologically active substance
family group, produces, manufactured object
chemical, isa, substance
biologic function, affects, plant
tissue, location of, disease or syndrome
fully formed anatomical structure, location of, disease or syndrome
biologic function, result of, molecular function
neoplastic process, occurs in, disease or syndrome
cell component, part of, tissue
professional or occupational group, performs, research activity
biologic function, process of, bird
pharmacologic substance, diagnoses, experimental model of disease
chemical, affects, organ or tissue function
mental or behavioral dysfunction, result of, disease or syndrome
pathologic function, co-occurs with, congenital abnormality
congenital abnormality, result of, pathologic function
laboratory or test result, indicates, neoplastic process
biologic function, affects, human
inorganic chemical, interacts with, antibiotic
pharmacologic substance, affects, cell function
fully formed anatomical structure, produces, carbohydrate
neuroreactive substance or biogenic amine, affects, mental or behavioral dysfunction
chemical viewed structurally, interacts with, eicosanoid
receptor, disrupts, fully formed anatomical structure
element ion or isotope, interacts with, immunologic factor
nucleic acid nucleoside or nucleotide, affects, pathologic function
pathologic function, result of, human caused phenomenon or process
cell or molecular dysfunction, complicates, experimental model of disease
fully formed anatomical structure, produces, nucleic acid nucleoside or nucleotide
mental or behavioral dysfunction, isa, pathologic function
anatomical structure, part of, vertebrate
research device, isa, manufactured object
enzyme, disrupts, fully formed anatomical structure
pathologic function, manifestation of, cell function
mental process, result of, biologic function
cell function, process of, pathologic function
hazardous or poisonous substance, disrupts, fully formed anatomical structure
organophosphorus compound, affects, mental or behavioral dysfunction
steroid, affects, genetic function
lipid, affects, biologic function
anatomical abnormality, part of, fish
mental or behavioral dysfunction, manifestation of, cell function
population group, associated with, neoplastic process
organism, isa, entity
neuroreactive substance or biogenic amine, causes, pathologic function
experimental model of disease, isa, pathologic function
element ion or isotope, isa, entity
biologically active substance, affects, experimental model of disease
mental or behavioral dysfunction, produces, biologically active substance
mental process, isa, biologic function
physical object, isa, entity
vitamin, complicates, pathologic function
experimental model of disease, process of, archaeon
neoplastic process, produces, vitamin
research activity, measures, temporal concept
experimental model of disease, produces, neuroreactive substance or biogenic amine
anatomical abnormality, manifestation of, biologic function
substance, causes, neoplastic process
congenital abnormality, location of, pathologic function
pathologic function, result of, acquired abnormality
disease or syndrome, complicates, experimental model of disease
virus, isa, physical object
pathologic function, co-occurs with, acquired abnormality
biologically active substance, complicates, organ or tissue function
bacterium, location of, biologically active substance
tissue, location of, injury or poisoning
anatomical abnormality, isa, anatomical structure
immunologic factor, causes, neoplastic process
experimental model of disease, manifestation of, cell function
fully formed anatomical structure, location of, injury or poisoning
embryonic structure, location of, organism function
vitamin, causes, pathologic function
cell function, affects, experimental model of disease
molecular function, affects, pathologic function
organophosphorus compound, causes, pathologic function
neoplastic process, co-occurs with, injury or poisoning
alga, location of, biologically active substance
biologically active substance, affects, mental process
rickettsia or chlamydia, location of, biologically active substance
organophosphorus compound, interacts with, pharmacologic substance
mental or behavioral dysfunction, result of, injury or poisoning
pharmacologic substance, issue in, occupation or discipline
neoplastic process, occurs in, age group
antibiotic, disrupts, embryonic structure
research activity, measures, carbohydrate
receptor, isa, physical object
diagnostic procedure, measures, steroid
fish, interacts with, archaeon
mental or behavioral dysfunction, produces, enzyme
antibiotic, affects, biologic function
